PARCELA DOS CARROS 20 DE CADA MÊS; R$ 19.000,00 
CARTAO DE CREDITO BB 20 DE CADA MÊS; R$ 15.000,00 
CAPITAL DE GIRO BB DIA 20; R$ 69.700,00 
CAPITAL DE GIRO 25 DE CADA MÊS; R$ 38.586,18 
CAPITAL DE GIRO 28 DE CADA MÊS; R$ 27.989,18 
BB CONSORCIO ADMIN 10 DE CADA MÊS; R$ 2.386,05 
BB CONSORCIO ADMIN 10 DE CADA MÊS; R$ 97,00 
BB CONSORCIO ADMIN 10 DE CADA MÊS; R$ 170,17 
TARIFA PACOTE DE SERVIÇOS E PIX ; R$ 371,04 
OUROCAP 14 DE CADA MÊS; R$ 54,35 
SEGURO VIA EMPRESA 20 DE CADA MÊS; R$ 75,36 
SEGURO VIA EMPRESA 20 DE CADA MÊS; R$ 2.999,07 
SEGURO VIA EMPRESA 27 DE CADA MÊS; R$ 892,29 
ERIVELTON SACRAMENTO 50 MIL P 5% VENCE 2 DE CAD MÊS ; R$ 2.500,00 
DANIEL BARBOSA SOCIO 130 MIL A 5%; R$ 6.500,00 
BARBARA ESPOSA DE MARCELO 2-60 VENCE 06 DE CADA MÊS 68P; R$ 3.784,00 
MARCELO HAMILTON CAIXA 3-12 VENCE 24 DE CADA MÊS ; R$ 2.882,03 
ROMULO 100 MIL 7% VENCE 27 DE CADA MÊS ; R$ 7.000,00 
UGO PARCEIRO 100 MIL 7% VENCE 27 DE CADA MÊS ; R$ 7.000,00 
CHEQUE BRAS - OUTUBRO;
JUROS BRAS DE 13 CHEQUES À 2% DE JUROS; R$ 20.143,00 
