id;omie_cod_ctr;omie_num_ctr;cliente_id_omie;cliente_nome;valor_mensal;municipio;tipo_entidade
40;8728721851;2026/00041;8508181113;IBIRATAIA PREFEITURA GABINETE DO PREFEITO;20000;Ibirataia;municipio
41;8729314370;2026/00042;8508251247;GABINETE DO PREFEITO PREFEITURA MUNICIPAL DE ANDORINHA;12050;Andorinha;municipio
42;8729314425;2026/00043;8508251467;FMAS PM ANDORINHA;6000;Andorinha;municipio
43;8729314465;2026/00044;8508253693;SEMED PM ANDORINHA FME;8000;Andorinha;municipio
44;8729314514;2026/00045;8508254830;FUNDO MUNICIPAL DE SAUDE DE ANDORINHA;8000;Andorinha;municipio
45;8729314561;2026/00046;8508251247;GABINETE DO PREFEITO PREFEITURA MUNICIPAL DE ANDORINHA;14000;Andorinha;municipio
46;8729314604;2026/00047;8508113496;BARRA DO ROCHA PREF GAB PREFEITO;10000;Barra do Rocha;municipio
47;8729314650;2026/00048;8508136525;SECRETARIA MUNICIPAL DE EDUCACAO BARRA DO ROCHA;4600;Barra do Rocha;municipio
48;8729314694;2026/00049;8508135107;FUNDO MUNICIPAL DE SAUDE DE BARRA DO ROCHA-BA;4400;Barra do Rocha;municipio
49;8729314740;2026/00050;8508238316;PREFEITURA MUNICIPAL DE BARROCAS;9383.79;Barrocas;municipio
50;8729314783;2026/00051;8508237619;FMAS DE BARROCAS;4170.58;Barrocas;municipio
51;8729314829;2026/00052;8508238316;PREFEITURA MUNICIPAL DE BARROCAS;4170.58;Barrocas;municipio
52;8729314884;2026/00053;8508239243;FUNDO MUNICIPAL DE SAUDE DE BARROCAS;4170.58;Barrocas;municipio
53;8729314931;2026/00054;8508238316;PREFEITURA MUNICIPAL DE BARROCAS;4691.9;Barrocas;municipio
54;8729314976;2026/00055;8508238316;PREFEITURA MUNICIPAL DE BARROCAS;4691.9;Barrocas;municipio
55;8729315035;2026/00056;8508258976;BOA VISTA DO TUPIM PREFEITURA GABINETE DO PREFEITO;6500;Boa Vista do Tupim;municipio
56;8729315091;2026/00057;8508261038;FMAS - BOA VISTA DO TUPIM;4000;Boa Vista do Tupim;municipio
57;8729315144;2026/00058;8508258976;BOA VISTA DO TUPIM PREFEITURA GABINETE DO PREFEITO;4000;Boa Vista do Tupim;municipio
58;8729315202;2026/00059;8508262166;FMS -BOA VISTA DO TUPIM;4000;Boa Vista do Tupim;municipio
59;8729315254;2026/00060;8508258976;BOA VISTA DO TUPIM PREFEITURA GABINETE DO PREFEITO;4500;Boa Vista do Tupim;municipio
60;8729315293;2026/00061;8508266676;BOM JESUS DA LAPA PREFEITURA GABINETE DO PREFEITO;23100;Bom Jesus da Lapa;municipio
61;8729315340;2026/00062;8508266925;FMAS - BOM JESUS DA LAPA-BA;3300;Bom Jesus da Lapa;municipio
62;8729315394;2026/00063;8508268109;FME MUNICIPIO DE BOM JESUS D;3300;Bom Jesus da Lapa;municipio
63;8729315448;2026/00064;8508269214;FUNDO MUNICIPAL DE SAUDE DE BOM JESUS DA LAPA;3300;Bom Jesus da Lapa;municipio
64;8729315498;2026/00065;8508266676;BOM JESUS DA LAPA PREFEITURA GABINETE DO PREFEITO;16500;Bom Jesus da Lapa;municipio
65;8729315560;2026/00066;8508194296;BOTUPORA PREFEITURA GABINETE DO PREFEITO;14375;Botuporã;municipio
66;8729315621;2026/00067;8508194592;FUNSAUDE - FUNDO MUNICIPAL DE SAUDE;10062.5;Botuporã;municipio
67;8729315665;2026/00068;8508196105;FME BOTUPORÃ;10062.5;Botuporã;municipio
68;8729315712;2026/00069;8508137873;PREFEITURA MUNICIPAL DE BURITIRAMA;14000;Buritirama;municipio
69;8729315752;2026/00070;8508138810;SECRETARIA DE EDUCACAO DE BURITIRAMA;9000;Buritirama;municipio
70;8729315792;2026/00071;8508140489;FUNDO MUNICIPAL DE SAUDE DE BURITIRAMA;9000;Buritirama;municipio
71;8729315838;2026/00072;8508137873;PREFEITURA MUNICIPAL DE BURITIRAMA;8100;Buritirama;municipio
72;8729315876;2026/00073;8508221502;CAMPO ALEGRE DE LOURDES PREF.GAB.PREFEITO;12000;Campo Alegre de Lourdes;municipio
74;8729315974;2026/00075;8508226394;FME- DE CAMPO ALEGRE DE LOURDES;7000;Campo Alegre de Lourdes;municipio
75;8729316030;2026/00076;8508225447;FMS CAMPO ALEGRE DE LOURDES;7000;Campo Alegre de Lourdes;municipio
76;8729316083;2026/00077;8508248058;CANDEIAS PREFEITURA FME;25500;Candeias;municipio
77;8729316146;2026/00078;8508216206;CARDEAL DA SILVA PREFEITURA GABINETE DO PREFEITO;11250;Cardeal da Silva;municipio
78;8729316187;2026/00079;8508220964;FMAS- CARDEAL DA SILVA;5625;Cardeal da Silva;municipio
79;8729316235;2026/00080;8508220471;FUNDO MUNICIPAL DE SAUDE DE CARDEAL DA SILVA;5625;Cardeal da Silva;municipio
80;8729316282;2026/00081;8508239745;CONDE PREFEITURA GABINETE DO PREFEITO;20000;Conde;municipio
81;8729316343;2026/00082;8508240227;FMAS;5000;Conde;municipio
82;8729316391;2026/00083;8508241240;FUNDO MUNICIPAL DE EDUCACAO DO CONDE - FME;5000;Conde;municipio
83;8729316445;2026/00084;8508241478;FUNDO MUNICIPAL DE SAUDE DE CONDE;5000;Conde;municipio
84;8729316494;2026/00085;8508270559;GLORIA PREFEITURA GABINETE DO PREFEITO;18000;Glória;municipio
85;8729316539;2026/00086;8508271529;FUMABES - ASSISTENCIA SOCIAL PM GLÓRIA;3000;Glória;municipio
86;8729316585;2026/00087;8508271764;GLORIA SEC. GABINETE DO SECRETARIO;4000;Glória;municipio
87;8729316621;2026/00088;8508272212;SMS - SECRETARIA MUNICIPAL DE SAUDE GLORIA;5000;Glória;municipio
88;8729316671;2026/00089;8508208740;GUARATINGA PREFEITURA GABINETE DO PREFEITO;10000;Guaratinga;municipio
89;8729316707;2026/00090;8508212132;FME- GUARATINGA;7500;Guaratinga;municipio
90;8729316768;2026/00091;8508211092;SECRETARIA MUNICIPAL DE SAUDE;7500;Guaratinga;municipio
91;8729316813;2026/00092;8508112881;IBIRAPITANGA PREFEITURA GABINETE DO PREFEITO;15500;Ibirapitanga;municipio
92;8729316856;2026/00093;8508113044;FME IBIRAPITANGA;5000;Ibirapitanga;municipio
93;8729316902;2026/00094;8508113211;FUNDO MUNICIPAL DE SAUDE -FUMSAUDE;5000;Ibirapitanga;municipio
95;8729316977;2026/00096;8508246143;MUNICIPIO DE IBOTIRAMA;22000;Ibotirama;municipio
96;8729317027;2026/00097;8508246988;FMAS- DE IBOTIRAMA;3000;Ibotirama;municipio
97;8729317068;2026/00098;8508246756;FME IBOTIRAMA;3000;Ibotirama;municipio
98;8729317104;2026/00099;8508246479;FUNDO MUNICIPAL DE SAUDE IBOTIRAMA;5000;Ibotirama;municipio
99;8729317145;2026/00100;8508089992;PREFEITURA IGRAPIUNA;7083.09;Igrapiúna;municipio
100;8729317187;2026/00101;8508093950;FMAS IGRAPIÚNA;4047.48;Igrapiúna;municipio
101;8729317224;2026/00102;8508092591;FUNDO MUNICIPAL DE EDUCACAO IGRAPIÚNA;6071.22;Igrapiúna;municipio
102;8729317264;2026/00103;8508091258;FUNDO MUNICIPAL DE SAUDE IGRAPIÚNA;6071.22;Igrapiúna;municipio
103;8729317310;2026/00104;8508272358;FICC;9000;Itabuna;
104;8729317356;2026/00105;8508168171;FMAS ITAJU DO COLONIA;4000;Itaju do Colônia;municipio
105;8729317411;2026/00106;8508169613;FME ITAJU DO COLONIA;4500;Itaju do Colônia;municipio
106;8729317460;2026/00107;8508170455;FUNDO MUNICIPAL DE SAUDE FUNSAUDE;4500;Itaju do Colônia;municipio
107;8729317495;2026/00108;8508095021;ITUBERA PREFEITURA GABINETE DO PREFEITO;17500;Ituberá;municipio
108;8729317545;2026/00109;8508098359;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL ITUBERA;4500;Ituberá;municipio
109;8729317595;2026/00110;8508097021;SECRETARIA MUNICIPAL DE EDUCACAO ITUBERA;4500;Ituberá;municipio
110;8729317645;2026/00111;8508095818;FUNDO MUNICIPAL DE SAUDE ITUBERA;4500;Ituberá;municipio
111;8729317687;2026/00112;8508140951;JAGUARIPE PREFEITURA GABINETE DO PREFEITO;13000;Jaguaripe;municipio
112;8729317736;2026/00113;8508142556;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE JAGUARIPE;3000;Jaguaripe;municipio
113;8729317779;2026/00114;8508142880;SECRETARIA MUNICIPAL DE EDUCACAO DE JAGUARIPE;7000;Jaguaripe;municipio
114;8729317853;2026/00115;8508144768;FUNDO MUNICIPAL DE SAUDE DE JAGUARIPE;7000;Jaguaripe;municipio
117;8729317992;2026/00118;8508183675;LAMARAO PREFEITURA GABINETE PREFEITO;9000;Lamarão;municipio
118;8729318032;2026/00119;8508184267;FMAS- LAMARÃO;4000;Lamarão;municipio
119;8729318075;2026/00120;8508184665;FME- LAMARÃO;4500;Lamarão;municipio
120;8729318112;2026/00121;8508189444;FUNDO MUNICIPAL DE SAUDE DE LAMARAO-BA;4500;Lamarão;municipio
121;8729318152;2026/00122;8508158756;MUNICIPIO DE MUQUEM DO SAO FRANCISCO;16000;Muquém do São Francisco;municipio
124;8729318273;2026/00125;8508241478;FUNDO MUNICIPAL DE SAUDE DE CONDE;5000;Conde;municipio
125;8729318313;2026/00126;8508158756;MUNICIPIO DE MUQUEM DO SAO FRANCISCO;4500;Muquém do São Francisco;municipio
126;8729318354;2026/00127;8508159325;SECRETARIA DE EDUCACAO DE MUQUEM DO SAO FRANCISCO;4500;Muquém do São Francisco;municipio
127;8729318390;2026/00128;8508158756;MUNICIPIO DE MUQUEM DO SAO FRANCISCO;20000;Muquém do São Francisco;municipio
128;8729318430;2026/00129;8508172358;OLIVEIRA DOS BREJINHOS PREFEITURA GABINETE DO PREFEITO;12000;Oliveira dos Brejinhos;municipio
129;8729318466;2026/00130;8508173747;FMAS OLIVEIRADOS BREJINHOS;8000;Oliveira dos Brejinhos;municipio
130;8729318513;2026/00131;8508175342;FME DE OLIVEIRA DOS BREJINHOS;9000;Oliveira dos Brejinhos;municipio
131;8729318546;2026/00132;8508175741;FMS OLIVEIRA DOS BREJINHOS;9000;Oliveira dos Brejinhos;municipio
132;8729318587;2026/00133;8508175342;FME DE OLIVEIRA DOS BREJINHOS;8000;Oliveira dos Brejinhos;municipio
134;8729318671;2026/00135;8508073678;MUNICIPIO DE PEDRO ALEXANDRE;18000;Pedro Alexandre;municipio
135;8729318712;2026/00136;8508088650;FUM SAUDE PEDRO ALEXANDRE;7000;Pedro Alexandre;municipio
136;8729318764;2026/00137;8508056617;QUIJINQUE PREFEITURA GABINETE DO PREFEITO;13000;Quijingue;municipio
137;8729318806;2026/00138;8508061568;FMAS QUIJINGUE;5000;Quijingue;municipio
138;8729318848;2026/00139;8508062858;SEMED_QUIJINGUE;6000;Quijingue;municipio
139;8729318894;2026/00140;8508063339;FMS - QUIJINGUE;6000;Quijingue;municipio
141;8729318974;2026/00142;8508180218;FMAS MUNICIPA SANTA BARBARA;4500;Santa Bárbara;municipio
